Bulk density,Initial C/N ratio,Initial moisture content,Initial pH,Composting duration,Reactor volume,Composting type,Bulking agent type,Treatment condition,Turning regime,Aeration regime,Score
0.33,24.4,61.37,5.1,8,180,Single-material composting,Rice husk,No adjustment,Fixed turning,Fixed intermittent aeration,75.21
0.15,21.47,60.95,5.65,91,45000,Single-material composting,Wood chips,No adjustment,Fixed turning,Fixed continuous aeration,83.2
0.13,30.83,80.12,5.41,150,10000,Single-material composting,Leaves,Adjustment of initial C/N or moisture content,Fixed turning,No aeration,80.43
0.33,25,77.5,6.7,90,150,Single-material composting,Leaves,Physicochemical additive,Fixed turning,Fixed continuous aeration,33.74
0.5,35.72,58.42,6.4,27,60,Single-material composting,Mixed bulking agents,Combined treatment,Variable turning,Fixed intermittent aeration,71.3
0.33,26.04,60,4.66,42,30,Mixed-material composting,Wood chips,No adjustment,Fixed turning,Fixed continuous aeration,86.61
0.32,19.74,67.81,7.686,20,30,Mixed-material composting,Crop stalk,No adjustment,Fixed turning,Fixed continuous aeration,75.86
0.33,12.8,61.37,6.7,8,180,Single-material composting,Rice husk,No adjustment,Fixed turning,Fixed intermittent aeration,64.81
0.33,20.1,61.37,7.17,60,350,Mixed-material composting,Other,Physicochemical additive,Fixed turning,Fixed continuous aeration,78.06
0.58,25,61.37,5.1,15,60,Single-material composting,Crop stalk,No adjustment,Fixed turning,Fixed continuous aeration,74.85
0.31,20.5,50,4.6,18,16,Single-material composting,No bulking agent,Adjustment of initial C/N or moisture content,Fixed turning,Fixed continuous aeration,72.89
0.25,25,65,4.8,30,60,Single-material composting,Wheat bran,No adjustment,Fixed turning,Fixed continuous aeration,60.41
0.33,25.73,61.37,4.541,35,60,Single-material composting,Leaves,No adjustment,Variable turning,Fixed continuous aeration,85.94
0.58,25,61.37,5.2,15,60,Mixed-material composting,Crop stalk,No adjustment,Fixed turning,Fixed continuous aeration,80.44
0.4,25.3,65.85,6.3541,40,65,Single-material composting,No bulking agent,Pretreatment,Fixed turning,Fixed continuous aeration,73.43
0.33,13.7,37,6.3,90,60,Single-material composting,No bulking agent,Physicochemical additive,Fixed turning,Fixed continuous aeration,79.04
0.21,33.1,47,7.7,33,120,Single-material composting,Other,Microbial inoculant,Fixed turning,Fixed intermittent aeration,84.62
